feature	without_phage	t40_Rif	t90_Rif	t140_Rif	t190_Rif	t40	t90	t140	t190	time_class
g112	0.281504571762612	13535.0072813798	12262.7901573361	17436.0926537281	23772.6378758744	10257.8497437508	7470.6854649767	2069.31702344546	1592.44238621566	early
g004	0.0997737722702927	5636.00793567895	5682.80818680738	5298.79724489483	5569.54372856584	3584.22768839131	4296.46276187391	909.431089433412	587.128347985191	early
g070	0.0398087273199653	0.243269119691214	19.9391867274576	155.4323373569	472.855621407972	0.113199398675557	1054.48319012096	4566.94021423889	4721.62556549215	middle
g099	0.583861334026157	0.764560090458101	140.033189637527	880.820980477	2583.30271561759	1.49423206251735	8318.4450607244	27991.0899686639	23482.534527094	middle
g042	0.0997737722702927	25527.0064865293	18489.8842499388	9983.97587477381	8246.49238980194	14039.7477164233	17338.9453666673	4798.51352920683	1618.98943148862	early
g018	0.0290021063304081	9345.89096108832	11331.7423180395	9798.40954582953	8697.85995653728	4032.05143622978	7733.78840298699	2469.63775345631	895.19146652874	early
g058	0.326157021076681	14289.3117209693	16637.095086537	12173.8969356961	8403.17683908033	5643.00345176726	11937.2535413291	4485.50036908151	1292.02300150057	early
g078	0.112601828705045	0.0983005830588987	2.76344566925883	69.9130157521464	350.284568510653	0.0640385169650295	58.5756655140593	3140.43007620989	8867.42886630827	late
g101	0.337805486115134	0.884705247530089	124.355055116648	865.213596468548	2176.74211737422	0.768462203580354	5053.06639536127	14661.4242027086	9423.4817045642	middle
g024	0.363790523508606	27556.0277685694	30624.041111649	23330.4208326344	21010.9060993362	13207.8850115601	25485.9059672577	8372.61820748059	3333.72844394409	early
g009	0.184737375219214	10025.8646196368	9042.31120174359	7168.81509177283	6965.6242010321	7277.35958144707	6405.71236662904	1337.60193679918	707.021884917686	early
g008	0.299321316810878	14075.7351468744	12910.0295194516	9403.17564129473	9800.88472148353	10603.3922592315	9428.95206481587	1836.41079239732	1029.3255490934	early
g005	0.220994243252891	60.3859563033777	46.5935253240795	93.6396488357563	57.9913640944987	35.0655767194493	36.7238401392661	8.57412329589299	2.69572331293782	early
g093	0.089682872419947	0.0260974999271413	19.5086369652021	190.285442454501	667.409169784113	0.119009633297842	840.540281364863	8067.80150289122	10491.5603102927	late
g034	0.315285120374125	46107.0103319011	61733.0650057735	63827.160668165	56503.4388393641	18422.925022319	35932.5504913262	17225.2350209537	5310.7586350392	early
g021	0.463654588785478	26826.749531625	30249.2378515116	24417.693680282	20974.8833155685	11413.7355575407	24367.2854301051	7758.7895504787	2978.68616526319	early
g022	0.117643701632136	18654.912455494	21858.72400829	18133.3987163871	15384.9145960852	7734.0559477055	15155.3302658051	5714.64796303904	1902.02167673032	early
g032	0.0658673649806668	28031.1752108515	28710.6609795496	21209.2652155525	18550.6805683978	13546.8702048281	21207.5895988453	6537.0734768399	2141.49060937497	early
g049	0.337805486115134	44494.1861122816	57215.0071921688	47109.3112875116	37908.7106429632	15753.2830578464	37542.4253706437	15894.8594728411	4801.19233295254	early
g064	0.197053200233828	29856.1479883979	36457.5106586979	30030.4954917627	20117.1480578327	13821.8333572933	25867.2833797475	14077.4719673802	3156.84176185646	early
g023	0.446158189208667	19476.2017850605	22402.6804953538	18511.2909949303	16143.010576062	8050.58403615011	16956.0319020046	5945.41572904045	2093.02146312148	early
g062	0.251557276894249	32149.2475194482	44543.2030225803	35666.8113984639	27990.7706027791	15909.804093482	31798.6542527625	17182.6403799857	4881.52953076789	early
g051	0.342701217797962	51428.3006933795	72058.7573002013	61254.2899114325	54363.9134245742	19016.3768269328	46598.4717458626	21146.1241856136	6971.03956041819	early
g100	0.236463840280594	0.619293673271062	142.443063133614	904.887898690033	2569.82834597135	0.268961771253124	7134.72961672627	22407.5433231397	19280.9318593062	middle
g111	0.342701217797962	68297.022661358	51327.6718798855	75892.16805849	85484.0727745369	27912.5797608813	38404.0686351654	21872.3869461803	11214.0689865285	early
g073	0.139919432118694	0.488594614020562	27.7831089609724	142.049201615387	392.606760393159	0.238723465609282	1530.78750131324	4940.13474959135	5933.26574374212	middle
g081	0.0423770323083501	0.0369948430866823	1.84364777054658	41.4956100224715	205.608489636552	0.0964020685495068	66.6313503976105	3042.72211443958	7169.14611512043	late
g012	0.400786169967108	24044.6891607536	16456.5105706908	11112.0718727973	10643.6319444642	20034.2329527909	14794.0785718877	3195.28671884449	1678.91399388417	early
